Bavarian Brunch;Saturday, 9th of March 2024;https://forms.gle/NSfaSj9MCsJSHNXB7
City Rally;Saturday, 16th of March 2024;https://docs.google.com/forms/d/e/1FAIpQLScC0SGKfuE1lh4bVllzTJRv3UFMtJ83iJVcrOxynIKgd0h8lQ/viewform?usp=sf_link
Residenz;Saturday, 30th of March 2024;LINK
Schloss Neuschwanstein;Saturday, 13th of April 2024;LINK
Bodensee Boat Trip;Saturday, 20th of April 2024;LINK
Tour Olympic Roofs;Saturday, 27th of April 2024;LINK
Tour Olympic Roofs;Sunday, 28th of April 2024;LINK
Sailing;Saturday 4th of May 2024;LINK
Zugspitze;Saturday 11th of May 2024;LINK
Rafting;Saturday 18th of May 2024;LINK
Dachau Memorial;Saturday, 25th of May 2024;https://forms.gle/gbhBg3HeXsUrvUWz9
Hiking (Partnachklamm);Saturday 8th of June 2024;LINK
Summer Sledding;Saturday 15th of June 2024;LINK
High Ropes Course;Saturday 22nd of June 2024;LINK
Standup-Paddeling at a lake with BBQ;Saturday 29th of June 2024;LINK
